pair,order,mean,std,min,max,p05,p95,positive_share
AI–Electricity,"(3,3)",0.3324450078619443,0.07955938862669283,0.12759935466002573,0.5593881162624149,0.22925363354194944,0.48181755890368516,1.0
AI–Electricity,"(4,4)",0.332752054777769,0.08100148123913493,0.12020184205279315,0.5663460374915527,0.22901030104591827,0.4860841518978366,1.0
AI–Electricity,"(5,5)",0.3356226377561858,0.08130279474547243,0.12155008526899307,0.5690763943971978,0.23284226432324132,0.4892751144334356,1.0
AI–Electricity,"(6,6)",0.3338282356126495,0.0797143186970551,0.12688424479497967,0.5655213720836416,0.2322231431471154,0.48383598186856563,1.0
AI–Coal,"(3,3)",0.2931975438981265,0.06230901758010828,0.09995178447002769,0.5210160730396001,0.19505357838726156,0.3972413607609581,1.0
AI–Coal,"(4,4)",0.29356403186728347,0.06284178688980067,0.09859516658096931,0.5215514238376494,0.1918649153791975,0.3976587162244035,1.0
AI–Coal,"(5,5)",0.29423920552826527,0.06243731429602845,0.0973104493585592,0.5127353086046457,0.1950192379768985,0.3984305639768992,1.0
AI–Coal,"(6,6)",0.29506330901126177,0.06204062682440851,0.09937690169316812,0.5133211042382485,0.19740807221237555,0.399273023603481,1.0
AI–Gas,"(3,3)",0.0381250613208298,0.052534847983346136,-0.09281277390658776,0.18326184179401775,-0.04663251714191503,0.12490854897051555,0.7572977481234362
AI–Gas,"(4,4)",0.03825318298186209,0.053016699606469944,-0.09494352197944497,0.18157759866252726,-0.04668236417964166,0.12472952248388391,0.7589658048373644
AI–Gas,"(5,5)",0.03823485703171877,0.053151107163142974,-0.0942485953928831,0.18165163822641076,-0.04679272739678466,0.12583424739876828,0.7547956630525438
AI–Gas,"(6,6)",0.037588877349969484,0.05136721656594173,-0.09294703634944691,0.17895436639500217,-0.045855819480773254,0.12362211845856048,0.7564637197664721
AI–WTI,"(3,3)",0.15888396272995894,0.07297007539481795,-0.0027056743542364075,0.45100388642820366,0.049092836229922554,0.27382366773690536,0.9983319432860718
AI–WTI,"(4,4)",0.15691815939410167,0.07306642449479675,-0.0073861633438597595,0.4466198068668188,0.04540386025308018,0.2721496732242823,0.9958298582151793
AI–WTI,"(5,5)",0.1596815251695306,0.07324100301743719,-0.0033050402438333936,0.449409705062015,0.049110457700757795,0.27600272747077265,0.9983319432860718
AI–WTI,"(6,6)",0.16174553804398195,0.07271275356921915,0.0018717777454470704,0.4482517335292949,0.05262664106819752,0.2777956931590205,1.0
AI–Gold,"(3,3)",0.1478231256233625,0.07879397583188971,-0.08959515982845041,0.3446979743702511,0.008499688792720176,0.27480653214723993,0.9591326105087573
AI–Gold,"(4,4)",0.14651059388014442,0.07930256745880902,-0.09199143227419611,0.34254323955129257,0.007147244054215462,0.27519042822841044,0.957464553794829
AI–Gold,"(5,5)",0.14731837971932996,0.07935382353957218,-0.0913112795484064,0.34537935672277703,0.00775752844686895,0.278125982470369,0.957464553794829
AI–Gold,"(6,6)",0.14388366000573732,0.0779296973529368,-0.0867504415494108,0.3347194944014211,0.00701997138502049,0.2710099059003072,0.9566305254378649
Electricity–Gas,"(3,3)",0.0711151064308413,0.048771500149346315,-0.08313323669839506,0.22639695378480698,-0.00513017704039343,0.15674016929115248,0.9341117597998332
Electricity–Gas,"(4,4)",0.07078129138031473,0.048898612169982814,-0.08000257750629704,0.23005458748824356,-0.006365616980601023,0.15523120733020662,0.9332777314428691
Electricity–Gas,"(5,5)",0.07065201745360349,0.04849847279391894,-0.07941970727494935,0.2253583075384646,-0.006033997393840327,0.15260059182654254,0.9357798165137615
Electricity–Gas,"(6,6)",0.07126133335015808,0.047136032724613544,-0.08004171368628547,0.2054710604135466,-0.0035669624596529163,0.15427645018781017,0.9424520433694745
