frequency_band,variable,TO,FROM,NET,average_TCI
long_term,r_ai,34.043323088575036,28.21176886687512,5.831554221699914,24.167495773761924
long_term,r_coal,36.35786864178926,24.038551108320036,12.319317533469219,24.167495773761924
long_term,r_electricity,25.988505576993056,26.976327386583804,-0.9878218095907508,24.167495773761924
long_term,r_gas,10.06621013400429,15.333410652874242,-5.267200518869953,24.167495773761924
long_term,r_gold,18.907208335076035,22.927524443751814,-4.020316108675779,24.167495773761924
long_term,r_wti,19.641858866133894,27.517392184166543,-7.875533318032649,24.167495773761924
medium_term,r_ai,35.141791003198705,29.100086089236125,6.041704913962588,24.52985212974934
medium_term,r_coal,35.3462286120739,26.151288150697138,9.19494046137676,24.52985212974934
medium_term,r_electricity,26.919752606041023,27.190885038266362,-0.27113243222534195,24.52985212974934
medium_term,r_gas,9.977932217667693,14.786196054342879,-4.808263836675186,24.52985212974934
medium_term,r_gold,19.175219686567008,23.1352511727244,-3.9600314861573906,24.52985212974934
medium_term,r_wti,20.618188652947723,26.81540627322915,-6.197217620281429,24.52985212974934
short_term,r_ai,35.007840316210455,31.035467528725647,3.972372787484806,23.92510998663367
short_term,r_coal,29.090317538626337,31.777879285177534,-2.6875617465511987,23.92510998663367
short_term,r_electricity,28.52341272094024,25.88081655090466,2.6425961700355733,23.92510998663367
short_term,r_gas,9.195578859674075,12.530038510442624,-3.3344596507685487,23.92510998663367
short_term,r_gold,19.588235614219368,22.583250354316895,-2.9950147400975284,23.92510998663367
short_term,r_wti,22.145274870131566,19.743207690234673,2.4020671798968967,23.92510998663367
